PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2018,40,4910,6344,3898,X,1568,1300,18020,1267683,2611,1.42149,1.42208
2018,41,5343,6296,4058,X,1676,1329,18702,1268041,2650,1.47487,1.40393
2018,42,5592,6809,4418,X,1758,1402,19979,1256028,2622,1.59065,1.47263
2018,43,6259,7514,4632,X,1846,1446,21697,1257142,2677,1.7259,1.6407
2018,44,6862,8282,4730,X,1825,1451,23150,1256792,2663,1.84199,1.79119
2018,45,7508,8471,4842,X,1844,1456,24121,1250895,2670,1.9283,1.86905
2018,46,7841,8131,5084,X,2014,1489,24559,1172881,2662,2.0939,1.99197
2018,47,8614,7227,5046,X,2121,1704,24712,1026463,2616,2.40749,2.24324
2018,48,8896,8854,6606,X,2783,2081,29220,1298466,2663,2.25035,2.15075
2018,49,8815,9371,6025,X,2475,1869,28555,1235162,2656,2.31184,2.26399
2018,50,10162,11432,6852,X,2794,1988,33228,1214003,2646,2.73706,2.63836
2018,51,11495,12872,8151,X,3328,2495,38341,1181693,2591,3.24458,3.13243
2018,52,13614,12055,10364,X,4479,3539,44051,1052638,2577,4.18482,3.95557
2019,1,11691,9590,11431,X,5222,4277,42211,1159541,2625,3.64032,3.45869
2019,2,9361,10958,10519,X,4881,3457,39176,1239129,2652,3.16158,3.09929
2019,3,9688,14270,10068,X,4248,2949,41223,1226012,2654,3.36237,3.32031
2019,4,10741,16958,11274,X,4487,2868,46328,1191537,2670,3.88809,3.79109
2019,5,11589,22179,13078,X,5114,3266,55226,1219385,2656,4.529,4.3397
2019,6,13850,29723,15775,X,6190,4101,69639,1336455,2658,5.21073,4.86147
2019,7,14218,29390,15982,X,6358,4288,70236,1286800,2638,5.45819,5.07354
2019,8,13576,26673,15785,X,6150,4497,66681,1254563,2625,5.31508,4.934
2019,9,11574,23557,13918,X,5755,4165,58969,1275387,2634,4.62362,4.58905
2019,10,11041,21756,13079,X,5379,4059,55314,1249398,2602,4.42725,4.39711
2019,11,10860,20033,12567,X,5375,4158,52993,1272523,2602,4.1644,4.24348
2019,12,9562,16576,10642,X,4496,3867,45143,1281589,2595,3.52242,3.69413
2019,13,8540,13568,8640,X,3802,3182,37732,1222974,2543,3.08527,3.12161
2019,14,7378,11410,7345,X,3186,2723,32042,1179490,2444,2.7166,2.75425
2019,15,6439,9274,5959,X,2429,2143,26244,1125246,2189,2.33229,2.35636
