AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2018-19,40,4,0,39,966,> 100%
State,Alabama,All,2018-19,41,5.3,1,50,957,> 100%
State,Alabama,All,2018-19,42,5.6,1,55,993,> 100%
State,Alabama,All,2018-19,43,4.8,1,47,990,> 100%
State,Alabama,All,2018-19,44,6.7,0,63,946,> 100%
State,Alabama,All,2018-19,45,5.3,1,51,975,> 100%
State,Alabama,All,2018-19,46,5.3,1,55,"1,066",> 100%
State,Alabama,All,2018-19,47,3.7,1,37,"1,040",> 100%
State,Alabama,All,2018-19,48,4.8,2,48,"1,047",> 100%
State,Alabama,All,2018-19,49,5.9,0,63,"1,075",> 100%
State,Alabama,All,2018-19,50,6.6,1,70,"1,076",> 100%
State,Alabama,All,2018-19,51,7,0,78,"1,122",> 100%
State,Alabama,All,2018-19,52,6.2,1,67,"1,104",> 100%
State,Alabama,All,2018-19,1,6.1,7,60,"1,093",> 100%
State,Alabama,All,2018-19,2,7.1,7,71,"1,093",> 100%
State,Alabama,All,2018-19,3,8.1,2,91,"1,145",> 100%
State,Alabama,All,2018-19,4,5.9,2,62,"1,076",> 100%
State,Alabama,All,2018-19,5,6.5,1,71,"1,104",> 100%
State,Alabama,All,2018-19,6,7,10,65,"1,072",> 100%
State,Alabama,All,2018-19,7,6.5,11,59,"1,078",> 100%
State,Alabama,All,2018-19,8,4.7,6,44,"1,064",> 100%
State,Alabama,All,2018-19,9,7.4,8,69,"1,034",> 100%
State,Alabama,All,2018-19,10,5.9,4,56,"1,021",> 100%
State,Alabama,All,2018-19,11,6.1,5,57,"1,023",> 100%
State,Alabama,All,2018-19,12,5.9,4,50,912,98.7%
State,Alabama,All,2018-19,13,5.9,2,48,851,92.1%
State,Alabama,All,2018-19,14,6.4,0,38,591,64%
State,Alaska,All,2018-19,40,4.2,0,4,96,> 100%
State,Alaska,All,2018-19,41,5.7,0,5,87,> 100%
State,Alaska,All,2018-19,42,5.3,0,4,76,> 100%
State,Alaska,All,2018-19,43,6.5,0,6,92,> 100%
State,Alaska,All,2018-19,44,4.3,0,3,69,95.7%
State,Alaska,All,2018-19,45,2.1,0,2,94,> 100%
State,Alaska,All,2018-19,46,3.4,0,3,87,> 100%
State,Alaska,All,2018-19,47,7.1,0,7,98,> 100%
State,Alaska,All,2018-19,48,1.1,0,1,93,> 100%
State,Alaska,All,2018-19,49,6.1,0,5,82,> 100%
State,Alaska,All,2018-19,50,2.7,0,3,110,> 100%
State,Alaska,All,2018-19,51,6,0,6,100,> 100%
State,Alaska,All,2018-19,52,5.6,0,4,71,98.5%
State,Alaska,All,2018-19,1,3.2,0,3,94,> 100%
State,Alaska,All,2018-19,2,10.2,1,8,88,> 100%
State,Alaska,All,2018-19,3,3.1,0,3,97,> 100%
State,Alaska,All,2018-19,4,4.4,0,4,91,> 100%
State,Alaska,All,2018-19,5,5.2,1,4,96,> 100%
State,Alaska,All,2018-19,6,11.5,3,8,96,> 100%
State,Alaska,All,2018-19,7,8.5,1,7,94,> 100%
State,Alaska,All,2018-19,8,5.3,0,4,75,> 100%
State,Alaska,All,2018-19,9,9.1,3,5,88,> 100%
State,Alaska,All,2018-19,10,6.1,2,3,82,> 100%
State,Alaska,All,2018-19,11,13,2,8,77,> 100%
State,Alaska,All,2018-19,12,5.4,2,1,56,77.7%
