"","YEAR","WEEK","AGE.0.4","AGE.5.24","AGE.25.49","AGE.25.64","AGE.50.64","AGE.65","ILITOTAL","TOTAL.PATIENTS","NUM..OF.PROVIDERS","X.UNWEIGHTED.ILI","X..WEIGHTED.ILI"
"1",2010,40,2627,3142,1677,"X",627,400,8473,746485,1838,1.13505,1.10939
"2",2010,41,2953,3522,1779,"X",649,444,9347,746230,1875,1.25256,1.24341
"3",2010,42,3044,3641,1898,"X",690,411,9684,777397,1907,1.2457,1.25726
"4",2010,43,3226,3822,1754,"X",682,420,9904,781234,1929,1.26774,1.25734
"5",2010,44,3451,4397,1981,"X",736,455,11020,766753,1947,1.43723,1.43414
"6",2010,45,3927,4679,1956,"X",734,511,11807,769982,1940,1.53341,1.51838
"7",2010,46,4416,5322,2327,"X",774,497,13336,787038,1921,1.69445,1.61617
"8",2010,47,4598,4145,2043,"X",743,550,12079,606527,1938,1.9915,1.84378
"9",2010,48,5045,4978,2440,"X",915,619,13997,772016,1964,1.81305,1.72535
"10",2010,49,5060,5867,2511,"X",893,627,14958,742606,1936,2.01426,1.87923
"11",2010,50,6300,7194,2847,"X",1031,650,18022,704923,1916,2.55659,2.3371
"12",2010,51,7295,7071,3433,"X",1262,838,19899,588406,1840,3.38185,3.03533
"13",2010,52,7478,5764,4455,"X",1581,1068,20346,592880,1887,3.43172,3.136
"14",2011,1,6584,6342,4455,"X",1586,1059,20026,744043,1923,2.69151,2.53336
"15",2011,2,6238,7773,4220,"X",1537,953,20721,711908,1921,2.91063,2.91288
"16",2011,3,7247,11243,5095,"X",1734,938,26257,751850,1964,3.49232,3.44497
"17",2011,4,8007,15291,5952,"X",1794,931,31975,798637,1947,4.0037,4.16185
"18",2011,5,8195,16366,6536,"X",1990,1197,34284,772974,1970,4.43534,4.55159
"19",2011,6,8036,16516,6812,"X",1996,1096,34456,812230,1961,4.24215,4.46504
"20",2011,7,8172,17493,7257,"X",2352,1293,36567,831600,1910,4.39719,4.55124
"21",2011,8,7839,13718,6425,"X",2028,1267,31277,801449,1908,3.90256,4.0822
"22",2011,9,6376,10496,4869,"X",1740,1146,24627,781629,1860,3.15073,3.38812
"23",2011,10,5691,8427,3939,"X",1421,899,20377,747993,1829,2.72422,2.99142
"24",2011,11,5363,6702,3265,"X",1175,804,17309,741807,1823,2.33336,2.61542
"25",2011,12,4400,5489,2551,"X",978,613,14031,728883,1790,1.925,2.09065
"26",2011,13,4189,5025,2244,"X",877,622,12957,739375,1770,1.75243,1.86146
"27",2011,14,3701,4557,1985,"X",747,508,11498,729089,1723,1.57704,1.61377
"28",2011,15,3164,3562,1574,"X",641,450,9391,691707,1681,1.35766,1.42199
"29",2011,16,3139,3064,1505,"X",559,428,8695,662612,1651,1.31223,1.3382
"30",2011,17,2895,2673,1324,"X",555,383,7830,681240,1612,1.14937,1.19995
"31",2011,18,2532,2553,1305,"X",524,393,7307,655627,1585,1.11451,1.14889
"32",2011,19,2551,2595,1254,"X",485,351,7236,651983,1556,1.10984,1.12194
"33",2011,20,2353,2280,1131,"X",461,305,6530,620485,1516,1.0524,1.06712
"34",2011,21,2213,2110,1045,"X",405,299,6072,586460,1381,1.03536,1.05058
"35",2011,22,2249,1980,1013,"X",397,307,5946,531954,1357,1.11777,1.15203
"36",2011,23,2040,1760,1037,"X",432,278,5547,564322,1296,0.982949,0.970975
"37",2011,24,1812,1599,911,"X",405,262,4989,539238,1279,0.925194,0.894683
"38",2011,25,1604,1422,870,"X",308,244,4448,532356,1251,0.835531,0.843568
"39",2011,26,1472,1462,750,"X",324,210,4218,506732,1225,0.832393,0.815409
"40",2011,27,1423,1269,823,"X",270,224,4009,468565,1211,0.855591,0.823052
"41",2011,28,1255,1206,756,"X",316,188,3721,526346,1220,0.706949,0.674635
"42",2011,29,1243,1184,733,"X",259,178,3597,518011,1203,0.694387,0.631883
"43",2011,30,1251,1188,667,"X",263,169,3538,514262,1179,0.687976,0.641513
"44",2011,31,1088,1125,635,"X",203,151,3202,496632,1175,0.644743,0.529813
"45",2011,32,1207,1223,704,"X",231,158,3523,521671,1175,0.67533,0.644089
"46",2011,33,1342,1358,767,"X",241,166,3874,531975,1191,0.72823,0.667718
"47",2011,34,1505,1600,814,"X",305,220,4444,551005,1195,0.806526,0.705668
"48",2011,35,1528,1781,887,"X",308,213,4717,548228,1200,0.860408,0.804155
"49",2011,36,1622,1809,904,"X",293,185,4813,514168,1184,0.936075,0.907804
"50",2011,37,1788,2206,1022,"X",346,205,5567,575887,1196,0.966683,1.00555
"51",2011,38,1816,2264,1126,"X",374,242,5822,584534,1201,0.996007,1.03601
"52",2011,39,2248,2514,1253,"X",449,244,6708,605162,1213,1.10846,1.07583
"53",2011,40,3106,3485,1765,"X",632,377,9365,778182,1850,1.20345,1.16092
"54",2011,41,3317,3667,1777,"X",672,370,9803,791987,1883,1.23777,1.19785
"55",2011,42,3324,3837,1763,"X",655,379,9958,794995,1905,1.25259,1.27926
"56",2011,43,3453,4035,1773,"X",657,380,10298,788840,1900,1.30546,1.29194
"57",2011,44,3634,4658,1957,"X",760,387,11396,784334,1925,1.45295,1.42824
"58",2011,45,3949,4348,2072,"X",671,456,11496,797839,1946,1.44089,1.39803
"59",2011,46,3923,4361,2166,"X",797,474,11721,801594,1900,1.46221,1.45831
"60",2011,47,4125,3340,1803,"X",679,430,10377,626731,1918,1.65573,1.56548
"61",2011,48,4237,3955,2059,"X",815,413,11479,782984,1904,1.46606,1.34313
"62",2011,49,3995,4040,1938,"X",772,442,11187,736905,1898,1.51811,1.48139
"63",2011,50,4579,4097,2077,"X",838,546,12137,729258,1872,1.66429,1.63398
"64",2011,51,5016,3535,2068,"X",818,521,11958,645424,1851,1.85274,1.83126
"65",2011,52,5243,3184,2315,"X",946,668,12356,581697,1821,2.12413,2.10451
"66",2012,1,4514,3393,2342,"X",1028,715,11992,678631,1891,1.76709,1.73625
"67",2012,2,4059,3636,2319,"X",918,611,11543,747894,1883,1.5434,1.55066
"68",2012,3,4364,4030,2247,"X",800,498,11939,724623,1887,1.64762,1.62891
"69",2012,4,4766,4802,2303,"X",825,513,13209,784244,1891,1.6843,1.76038
"70",2012,5,5218,5336,2415,"X",915,564,14448,775298,1885,1.86354,1.92728
"71",2012,6,5028,5555,2582,"X",894,565,14624,784516,1875,1.86408,1.91994
"72",2012,7,5277,5994,2937,"X",1054,667,15929,789193,1884,2.01839,2.09951
"73",2012,8,5246,5990,3009,"X",1131,761,16137,767022,1853,2.10385,2.23973
"74",2012,9,5219,6239,3141,"X",1153,766,16518,788242,1826,2.09555,2.21921
