AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE,YEAR
National,All,2010-11,1,8.8,8.5,9.1,53,"4,766","53,109",> 100%,2011
National,All,2010-11,2,8.9,8.6,9.1,65,"4,700","52,613",> 100%,2011
National,All,2010-11,3,9,8.6,9.1,67,"4,702","52,465",> 100%,2011
National,All,2010-11,4,9,8.7,9.3,88,"4,801","52,320",> 100%,2011
National,All,2010-11,5,9,8.7,9.2,106,"4,692","52,110",> 100%,2011
National,All,2010-11,6,9,8.7,9.3,150,"4,744","52,827",> 100%,2011
National,All,2010-11,7,9,8.7,9.6,192,"4,961","53,431",> 100%,2011
National,All,2010-11,8,9,8.7,9.9,173,"4,982","52,178",> 100%,2011
National,All,2010-11,9,9,8.7,9.6,183,"4,807","52,184",> 100%,2011
National,All,2010-11,10,9,8.6,9.4,165,"4,723","51,770",> 100%,2011
National,All,2010-11,11,8.9,8.6,9.1,147,"4,487","50,752",> 100%,2011
National,All,2010-11,12,8.9,8.5,8.9,94,"4,326","49,758",> 100%,2011
National,All,2010-11,13,8.8,8.4,8.6,79,"4,182","49,442",> 100%,2011
National,All,2010-11,14,8.7,8.3,8.3,75,"4,054","49,774",> 100%,2011
National,All,2010-11,15,8.6,8.2,8.3,47,"3,958","48,279",> 100%,2011
National,All,2010-11,16,8.5,8.1,8.2,32,"3,891","47,947",> 100%,2011
National,All,2010-11,17,8.4,8,7.8,13,"3,692","47,521",99.90%,2011
National,All,2010-11,18,8.3,7.9,7.9,20,"3,745","47,366",99.60%,2011
National,All,2010-11,19,8.1,7.8,7.9,3,"3,735","47,464",99.80%,2011
National,All,2010-11,20,8,7.7,7.7,7,"3,575","46,635",98%,2011
National,All,2010-11,21,7.9,7.6,7.6,5,"3,543","46,604",97.90%,2011
National,All,2010-11,22,7.8,7.4,7.6,5,"3,493","46,256",97.20%,2011
National,All,2010-11,23,7.7,7.3,7.4,3,"3,457","46,534",97.80%,2011
National,All,2010-11,24,7.6,7.2,7.3,5,"3,333","45,983",96.60%,2011
National,All,2010-11,25,7.4,7.1,7.3,2,"3,328","45,729",96.10%,2011
National,All,2010-11,26,7.4,7,7.3,3,"3,346","45,955",96.60%,2011
National,All,2010-11,27,7.3,6.9,7,1,"3,189","45,678",96%,2011
National,All,2010-11,28,7.2,6.8,6.9,2,"3,146","45,311",95.20%,2011
National,All,2010-11,29,7.1,6.8,7,3,"3,184","45,694",96%,2011
National,All,2010-11,30,7.1,6.7,6.7,3,"2,990","44,984",94.50%,2011
National,All,2010-11,31,7,6.7,6.6,1,"3,002","45,687",96%,2011
National,All,2010-11,32,7,6.7,6.7,2,"3,024","45,269",95.10%,2011
National,All,2010-11,33,7,6.6,6.6,1,"2,980","44,994",94.60%,2011
National,All,2010-11,34,7,6.6,6.8,3,"3,061","44,901",94.40%,2011
National,All,2010-11,35,7,6.7,6.7,4,"3,068","45,515",95.70%,2011
National,All,2010-11,36,7,6.7,6.7,2,"3,000","45,120",94.80%,2011
National,All,2010-11,37,7.1,6.7,6.7,2,"3,036","45,087",94.80%,2011
National,All,2010-11,38,7.1,6.8,7,1,"3,200","46,015",96.70%,2011
National,All,2010-11,39,7.2,6.9,7,1,"3,162","45,379",95.40%,2011
National,All,2010-11,40,7.5,7.2,7,5,"3,258","46,550",97.80%,2010
National,All,2010-11,41,7.6,7.3,7.4,7,"3,456","46,530",97.80%,2010
National,All,2010-11,42,7.7,7.4,7.3,3,"3,423","47,054",98.90%,2010
National,All,2010-11,43,7.8,7.5,7.5,5,"3,497","46,538",97.80%,2010
National,All,2010-11,44,7.9,7.6,7.4,5,"3,501","47,381",99.60%,2010
National,All,2010-11,45,8,7.7,7.5,3,"3,605","48,357",> 100%,2010
