year,month,age,rate,n
2010,Aug,>6 months,1.3,494368
2010,Sep,>6 months,7.6,494368
2010,Oct,>6 months,24.8,494368
2010,Nov,>6 months,34.7,494368
2010,Dec,>6 months,37.8,494368
2010,Jan,>6 months,40.3,494368
2010,Feb,>6 months,41.6,494368
2010,Mar,>6 months,42.4,494368
2010,Apr,>6 months,42.8,494368
2010,May,>6 months,43,494368
2010,Aug,6 months - 4 years,3.5,37895
2010,Sep,6 months - 4 years,15.4,37895
2010,Oct,6 months - 4 years,35.4,37895
2010,Nov,6 months - 4 years,49.7,37895
2010,Dec,6 months - 4 years,56.4,37895
2010,Jan,6 months - 4 years,60.2,37895
2010,Feb,6 months - 4 years,62,37895
2010,Mar,6 months - 4 years,62.9,37895
2010,Apr,6 months - 4 years,63.4,37895
2010,May,6 months - 4 years,63.6,37895
2010,Aug,50-64 years,0.6,128820
2010,Sep,50-64 years,6.5,128820
2010,Oct,50-64 years,26.5,128820
2010,Nov,50-64 years,37.1,128820
2010,Dec,50-64 years,39.8,128820
2010,Jan,50-64 years,42.1,128820
2010,Feb,50-64 years,43.5,128820
2010,Mar,50-64 years,44.1,128820
2010,Apr,50-64 years,44.3,128820
2010,May,50-64 years,44.5,128820
2010,Aug,> 65 years,1,132636
2010,Sep,> 65 years,11.4,132636
2010,Oct,> 65 years,43,132636
2010,Nov,> 65 years,57.5,132636
2010,Dec,> 65 years,60.8,132636
2010,Jan,> 65 years,63.3,132636
2010,Feb,> 65 years,64.8,132636
2010,Mar,> 65 years,65.6,132636
2010,Apr,> 65 years,66.3,132636
2010,May,> 65 years,66.6,132636
2011,Aug,>6 months,1.8,463754
2011,Sep,>6 months,8.6,463754
2011,Oct,>6 months,25.2,463754
2011,Nov,>6 months,34.4,463754
2011,Dec,>6 months,37.2,463754
2011,Jan,>6 months,39.3,463754
2011,Feb,>6 months,40.5,463754
2011,Mar,>6 months,41.2,463754
2011,Apr,>6 months,41.6,463754
2011,May,>6 months,41.8,463754
2011,Aug,6 months - 4 years,6.1,25206
2011,Sep,6 months - 4 years,19.4,25206
2011,Oct,6 months - 4 years,40.4,25206
2011,Nov,6 months - 4 years,54.1,25206
2011,Dec,6 months - 4 years,59.9,25206
2011,Jan,6 months - 4 years,62.9,25206
2011,Feb,6 months - 4 years,64.9,25206
2011,Mar,6 months - 4 years,66.5,25206
2011,Apr,6 months - 4 years,67.2,25206
2011,May,6 months - 4 years,67.6,25206
2011,Aug,50-64 years,0.8,118874
2011,Sep,50-64 years,7,118874
2011,Oct,50-64 years,25.7,118874
2011,Nov,50-64 years,36.1,118874
2011,Dec,50-64 years,38.8,118874
2011,Jan,50-64 years,40.7,118874
2011,Feb,50-64 years,41.8,118874
2011,Mar,50-64 years,42.3,118874
2011,Apr,50-64 years,42.6,118874
2011,May,50-64 years,42.7,118874
2011,Aug,> 65 years,1.3,117174
2011,Sep,> 65 years,12.7,117174
2011,Oct,> 65 years,42.7,117174
2011,Nov,> 65 years,56.1,117174
2011,Dec,> 65 years,59.4,117174
2011,Jan,> 65 years,61.9,117174
2011,Feb,> 65 years,63.3,117174
2011,Mar,> 65 years,64.2,117174
2011,Apr,> 65 years,64.6,117174
2011,May,> 65 years,64.9,117174
2012,Aug,>6 months,2.4,449515
2012,Sep,>6 months,8.9,449515
2012,Oct,>6 months,24.9,449515
2012,Nov,>6 months,34.1,449515
2012,Dec,>6 months,38,449515
2012,Jan,>6 months,41.6,449515
2012,Feb,>6 months,43.4,449515
2012,Mar,>6 months,44.2,449515
2012,Apr,>6 months,44.7,449515
2012,May,>6 months,45,449515
2012,Aug,6 months - 4 years,7.6,28714
2012,Sep,6 months - 4 years,19.8,28714
2012,Oct,6 months - 4 years,39.1,28714
2012,Nov,6 months - 4 years,53.3,28714
2012,Dec,6 months - 4 years,60.3,28714
2012,Jan,6 months - 4 years,64.6,28714
2012,Feb,6 months - 4 years,67,28714
2012,Mar,6 months - 4 years,68.2,28714
2012,Apr,6 months - 4 years,69.3,28714
2012,May,6 months - 4 years,69.8,28714
2012,Aug,50-64 years,1.1,112570
