PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2018,40,4919,6370,3908,X,1572,1308,18077,1267683,2611,1.42599,1.42895
2018,41,5348,6306,4062,X,1679,1331,18726,1267274,2648,1.47766,1.40871
2018,42,5600,6822,4428,X,1759,1403,20012,1256028,2621,1.59328,1.47643
2018,43,6259,7529,4625,X,1863,1452,21728,1257142,2676,1.72836,1.64485
2018,44,6871,8262,4735,X,1861,1457,23186,1256792,2662,1.84486,1.79499
2018,45,7514,8463,4837,X,1896,1458,24168,1250895,2669,1.93206,1.87391
2018,46,7851,8137,5075,X,2052,1491,24606,1172881,2661,2.09791,1.99781
2018,47,8624,7236,5033,X,2155,1708,24756,1026463,2616,2.41178,2.2491
2018,48,8902,8827,6605,X,2827,2086,29247,1298466,2662,2.25243,2.15357
2018,49,8823,9371,6025,X,2536,1874,28629,1235162,2655,2.31783,2.272
2018,50,10172,11402,6834,X,2873,1992,33273,1214003,2645,2.74077,2.64342
2018,51,11497,12871,8142,X,3393,2510,38413,1181677,2589,3.25072,3.14159
2018,52,13618,12065,10365,X,4528,3550,44126,1052620,2576,4.19202,3.96756
2019,1,11708,9609,11434,X,5242,4281,42274,1159195,2622,3.64684,3.46814
2019,2,9371,10968,10516,X,4901,3464,39220,1238757,2649,3.16608,3.1044
2019,3,9612,14159,10059,X,4262,2947,41039,1221562,2651,3.35955,3.31905
2019,4,10690,16870,11255,X,4485,2865,46165,1186913,2666,3.8895,3.78971
2019,5,11515,22083,13071,X,5112,3264,55045,1214176,2648,4.53353,4.33548
2019,6,13762,29603,15767,X,6186,4099,69417,1331946,2650,5.2117,4.85212
2019,7,14132,29248,15963,X,6353,4284,69980,1280752,2627,5.46398,5.07653
2019,8,13462,26535,15759,X,6154,4475,66385,1244237,2603,5.3354,4.93082
2019,9,11446,23380,13871,X,5735,4138,58570,1260177,2601,4.64776,4.59647
2019,10,10934,21531,13021,X,5355,4028,54869,1236523,2553,4.43736,4.40631
2019,11,10608,19526,12420,X,5307,4109,51970,1237179,2476,4.20069,4.30115
2019,12,9023,15346,10254,X,4305,3632,42560,1169053,2289,3.64055,3.80674
